iter	Passed	Remaining
0	133	133247
1	137	68561
2	141	47136
3	145	36261
4	148	29523
5	150	24905
6	152	21626
7	154	19166
8	156	17213
9	157	15636
10	159	14319
11	161	13260
12	163	12400
13	164	11596
14	165	10897
15	167	10290
16	171	9933
17	173	9462
18	174	9034
19	176	8631
20	177	8276
21	178	7948
22	181	7701
23	183	7477
24	185	7222
25	186	6991
26	187	6770
27	189	6595
28	191	6402
29	192	6224
30	194	6071
31	196	5929
32	197	5778
33	198	5638
34	199	5507
35	201	5386
36	202	5278
37	204	5172
38	207	5110
39	208	5009
40	209	4911
41	211	4817
42	212	4727
43	214	4654
44	215	4571
45	216	4496
46	219	4454
47	221	4389
48	222	4320
49	223	4252
50	225	4189
51	226	4134
52	228	4076
53	229	4022
54	232	3987
55	233	3940
56	234	3886
57	236	3834
58	237	3783
59	238	3740
60	240	3695
61	241	3650
62	242	3607
63	245	3593
64	247	3555
65	248	3515
66	249	3475
67	250	3430
68	251	3396
69	253	3361
70	254	3325
71	255	3296
72	258	3276
73	259	3246
74	260	3214
75	261	3182
76	262	3150
77	264	3124
78	265	3095
79	266	3065
80	268	3046
81	270	3025
82	271	2998
83	272	2971
84	273	2941
85	274	2917
86	275	2891
87	276	2867
88	277	2843
89	279	2823
90	282	2817
91	283	2797
92	284	2776
93	285	2754
94	286	2733
95	288	2715
96	289	2696
97	290	2676
98	291	2656
99	294	2649
100	295	2634
101	296	2610
102	297	2592
103	298	2572
104	299	2554
105	300	2538
106	302	2522
107	303	2507
108	305	2493
109	307	2489
110	308	2474
111	310	2459
112	311	2443
113	312	2427
114	314	2416
115	315	2400
116	316	2385
117	317	2369
118	319	2363
119	320	2353
120	322	2340
121	323	2326
122	323	2309
123	325	2296
124	326	2286
125	327	2273
126	328	2260
127	329	2247
128	332	2245
129	333	2234
130	335	2222
131	336	2209
132	337	2197
133	338	2186
134	339	2178
135	341	2168
136	343	2162
137	346	2164
138	348	2156
139	349	2147
140	350	2136
141	351	2126
142	353	2117
143	354	2106
144	355	2096
145	359	2101
146	360	2091
147	361	2082
148	362	2072
149	363	2061
150	365	2053
151	366	2044
152	367	2035
153	368	2025
154	371	2022
155	372	2017
156	374	2010
157	375	2002
158	376	1994
159	378	1986
160	379	1978
161	380	1969
162	381	1961
163	384	1961
164	386	1954
165	387	1946
166	388	1938
167	389	1930
168	391	1924
169	392	1915
170	393	1907
171	394	1901
172	398	1903
173	399	1895
174	400	1887
175	401	1879
176	402	1872
177	404	1866
178	405	1859
179	406	1851
180	407	1842
181	408	1836
182	410	1834
183	412	1827
184	413	1819
185	413	1811
186	414	1804
187	416	1797
188	417	1789
189	443	1888
190	447	1894
191	449	1892
192	450	1884
193	451	1876
194	452	1869
195	454	1863
196	455	1855
197	456	1849
198	457	1841
199	458	1835
200	461	1835
201	462	1828
202	463	1821
203	465	1814
204	466	1809
205	467	1803
206	469	1797
207	471	1795
208	473	1792
209	478	1798
210	480	1798
211	483	1795
212	485	1794
213	487	1791
214	490	1790
215	491	1785
216	493	1781
217	494	1775
218	496	1770
219	499	1769
220	500	1763
221	501	1757
222	502	1750
223	503	1744
224	504	1738
225	505	1732
226	506	1725
227	507	1719
228	508	1713
229	510	1709
230	512	1707
231	513	1701
232	514	1694
233	515	1688
234	517	1683
235	518	1677
236	518	1670
237	519	1664
238	520	1657
239	521	1651
240	523	1648
241	525	1644
242	526	1639
243	527	1633
244	528	1627
245	529	1621
246	530	1616
247	531	1610
248	532	1604
249	532	1598
250	533	1593
251	555	1647
252	559	1651
253	561	1649
254	563	1646
255	566	1646
256	568	1644
257	570	1640
258	571	1636
259	573	1632
260	574	1627
261	576	1623
262	578	1620
263	580	1618
264	581	1613
265	582	1608
266	583	1602
267	584	1597
268	586	1592
269	586	1587
270	587	1581
271	588	1575
272	589	1570
273	591	1567
274	593	1565
275	594	1560
276	595	1555
277	596	1550
278	598	1545
279	599	1541
280	600	1535
281	601	1530
282	602	1525
283	603	1521
284	605	1518
285	607	1516
286	608	1511
287	609	1506
288	610	1501
289	611	1496
290	612	1491
291	613	1486
292	614	1481
293	614	1476
294	616	1474
295	618	1471
296	620	1468
297	621	1464
298	622	1459
299	623	1455
