iter	Passed	Remaining
0	193	193331
1	194	97054
2	195	64955
3	196	48887
4	197	39273
5	198	32945
6	200	28394
7	201	24939
8	202	22257
9	202	20090
10	204	18344
11	204	16877
12	206	15650
13	207	14590
14	208	13668
15	209	12869
16	210	12158
17	211	11524
18	212	10977
19	214	10498
20	215	10041
21	216	9622
22	217	9236
23	218	8878
24	219	8551
25	220	8257
26	221	7978
27	222	7719
28	223	7480
29	224	7258
30	225	7050
31	226	6856
32	227	6676
33	228	6505
34	229	6341
35	231	6187
36	232	6038
37	233	5898
38	234	5770
39	235	5653
40	236	5538
41	238	5429
42	239	5324
43	240	5219
44	241	5119
45	242	5028
46	244	4956
47	245	4875
48	246	4792
49	247	4709
50	248	4630
51	249	4555
52	250	4483
53	252	4417
54	253	4349
55	254	4285
56	255	4221
57	256	4160
58	257	4108
59	259	4058
60	260	4003
61	261	3949
62	262	3897
63	263	3848
64	264	3799
65	265	3752
66	266	3705
67	267	3659
68	267	3615
69	268	3572
70	269	3530
71	270	3490
72	272	3458
73	273	3421
74	274	3385
75	275	3349
76	276	3313
77	277	3278
78	278	3246
79	279	3214
80	280	3181
81	281	3150
82	282	3120
83	283	3090
84	284	3061
85	285	3035
86	286	3008
87	288	2989
88	289	2966
89	290	2940
90	291	2914
91	292	2889
92	293	2864
93	294	2840
94	295	2816
95	296	2793
96	297	2771
97	298	2749
98	299	2728
99	300	2707
100	302	2688
101	303	2672
102	304	2651
103	305	2632
104	306	2613
105	307	2593
106	308	2574
107	309	2555
108	310	2537
109	311	2519
110	312	2501
111	313	2485
112	314	2468
113	315	2453
114	316	2438
115	318	2423
116	319	2407
117	320	2391
118	321	2376
119	322	2362
120	322	2343
121	323	2329
122	324	2313
123	325	2298
124	326	2283
125	327	2271
126	333	2293
127	338	2308
128	343	2320
129	348	2332
130	353	2341
131	356	2343
132	360	2349
133	364	2354
134	367	2352
135	371	2357
136	373	2349
137	375	2342
138	377	2338
139	379	2330
140	380	2319
141	382	2308
142	383	2298
143	385	2288
144	387	2284
145	390	2282
146	392	2280
147	394	2269
148	395	2259
149	396	2247
150	397	2235
151	398	2223
152	399	2213
153	400	2202
154	402	2192
155	403	2181
156	404	2170
157	406	2164
158	407	2154
159	408	2143
160	409	2132
161	410	2120
162	410	2110
163	414	2111
164	415	2102
165	416	2091
166	417	2080
167	418	2070
168	419	2061
169	421	2058
170	422	2048
171	423	2038
172	424	2029
173	425	2019
174	426	2010
175	427	2001
176	428	1991
177	429	1982
178	430	1972
179	431	1964
180	432	1956
181	433	1950
182	435	1945
183	436	1937
184	437	1929
185	439	1921
186	440	1913
187	441	1904
188	441	1896
189	442	1887
190	443	1879
191	444	1871
192	445	1863
193	446	1856
194	448	1850
195	449	1845
196	450	1837
197	451	1829
198	452	1822
199	453	1814
200	454	1806
201	455	1798
202	456	1790
203	457	1783
204	457	1775
205	458	1768
206	459	1761
207	461	1756
208	462	1751
209	463	1744
210	465	1740
211	466	1733
212	467	1726
213	468	1719
214	468	1712
215	469	1704
216	470	1698
217	471	1691
218	472	1685
219	473	1679
220	474	1672
221	475	1667
222	476	1661
223	478	1659
224	480	1655
225	482	1650
226	483	1645
227	484	1639
228	484	1632
